Epoch,Train Loss,Train Accuracy,Valid Loss,Valid Accuracy
0,0.48883677156347977,0.805921052631579,0.48300751447677615,0.7401785714285715
1,0.4188740684797889,0.9059210526315788,0.7252580642700195,0.8148809523809524
2,0.4125968719783582,0.9149671052631578,0.47583478689193726,0.8964285714285714
3,0.4093546145840695,0.921875,0.40480999946594237,0.9592261904761905
4,0.4047433428074184,0.9292763157894737,0.4142652451992035,0.912202380952381
5,0.40326960855408717,0.9370065789473685,0.4494718313217163,0.8806547619047619
6,0.4008405608566184,0.9429276315789473,0.412883049249649,0.8994047619047618
7,0.39709407796985224,0.9587171052631579,0.4076363921165466,0.9276785714285714
8,0.40286926611473683,0.9480263157894736,0.4035336494445801,0.9342261904761905
9,0.39605014261446503,0.946546052631579,0.4559915721416473,0.855952380952381
10,0.3988520832438218,0.9529605263157894,0.4329404652118683,0.862202380952381
11,0.4004356994440681,0.9325657894736842,0.3908016085624695,0.95625
12,0.39457767652837855,0.9588815789473685,0.404754501581192,0.9151785714285714
13,0.3972278300084566,0.9537828947368421,0.39693021178245547,0.9342261904761905
14,0.3961470385915355,0.9480263157894736,0.3948669612407684,0.9339285714285713
15,0.39476038593994944,0.9587171052631579,0.4245214283466339,0.9029761904761905
16,0.39652834283678157,0.9539473684210527,0.3965257823467255,0.9217261904761905
17,0.3977366207461608,0.9547697368421053,0.3979295790195465,0.9154761904761906
18,0.39451226592063904,0.9473684210526315,0.4022523045539856,0.943452380952381
19,0.3973095385651839,0.9455592105263158,0.4023575186729431,0.912202380952381
20,0.392133744923692,0.9669407894736842,0.3940083563327789,0.930952380952381
21,0.3933684002411993,0.958388157894737,0.39745416641235354,0.93125
22,0.3925173463005769,0.9546052631578947,0.3937168538570404,0.9372023809523811
23,0.3928180438907523,0.96875,0.3997692346572876,0.9059523809523811
24,0.3941767749033476,0.9601973684210525,0.5787725687026978,0.837202380952381
25,0.3935854450652474,0.9490131578947368,0.38862249851226804,0.955952380952381
26,0.39230368482439143,0.9703947368421053,0.3977136015892029,0.9092261904761905
27,0.39263597915047094,0.9481907894736842,0.39255638122558595,0.962202380952381
28,0.392417953202599,0.9513157894736842,0.47456988096237185,0.8744047619047619
29,0.3911830594665126,0.9769736842105263,0.390924346446991,0.98125
